Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Concrete Pots (product.metafields.custom.concrete_pots),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Plant support material (product.metafields.shopify.plant-support-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Flinted White,,,Standard,,,0.0,shopify,continue,manual,1304.62,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007381733.png?v=1693472332,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Flinted White,,,With Tray,,,0.0,shopify,continue,manual,1755.81,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007381733.png?v=1693472332,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Flinted White,,,With Pot Feet,,,0.0,shopify,continue,manual,1429.22,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007381733.png?v=1693472332,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Granite,,,Standard,,B616369,0.0,shopify,continue,manual,1304.62,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007414501.png?v=1693472330,kg,,470.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Granite,,,With Tray,,,0.0,shopify,continue,manual,1755.81,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007414501.png?v=1693472330,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Granite,,,With Pot Feet,,,0.0,shopify,continue,manual,1429.22,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007414501.png?v=1693472330,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Granite Sealed,,,Standard,,,0.0,shopify,continue,manual,1304.62,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007348965.png?v=1693471793,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Granite Sealed,,,With Tray,,,0.0,shopify,continue,manual,1755.81,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007348965.png?v=1693471793,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Granite Sealed,,,With Pot Feet,,,0.0,shopify,continue,manual,1429.22,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007348965.png?v=1693471793,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Rock,,,Standard,,B616369,0.0,shopify,continue,manual,1304.62,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007316197.png?v=1693472155,kg,,470.00,
